catalog_id,category,title,release_date,authors,wiki_url_mmm,download_url_mmm_docman,youtube_longplay_url
EP-001,MMM-Episoden,Episode 001: Geschwisterliebe,2005-03-07,LucasFan,http://wiki.maniac-mansion-mania.de/wiki/Geschwisterliebe,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=5,https://www.youtube.com/watch?v=1Bm9CZWhGv4&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=3
EP-002,MMM-Episoden,Episode 002: Unruhen,2005-03-17,KhrisMUC,http://wiki.maniac-mansion-mania.de/wiki/Unruhen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=6,https://www.youtube.com/watch?v=NrNbXT_e2Dk&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=6
EP-003,MMM-Episoden,Episode 003: Stubenarrest,2005-03-20,Lak,http://wiki.maniac-mansion-mania.de/wiki/Stubenarrest,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=1,https://www.youtube.com/watch?v=-UzLAN8eNpw&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=9
EP-004,MMM-Episoden,Episode 004: Mimikry der Emotionen,2005-03-25,dasJan,http://wiki.maniac-mansion-mania.de/wiki/Mimikry_der_Emotionen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=4,https://www.youtube.com/watch?v=c57iSEaS-2Y&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=11
EP-005,MMM-Episoden,Episode 005: Rhythmen zum Reinbeißen,2005-03-29,Gremlin; MarkusD,http://wiki.maniac-mansion-mania.de/wiki/Rhythmen_zum_Reinbei%C3%9Fen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=7,https://www.youtube.com/watch?v=XgAZ1a0-248&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=13
EP-006,MMM-Episoden,Episode 006: Er is' weg,2005-03-30,Lak,http://wiki.maniac-mansion-mania.de/wiki/Er_is'_weg,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=8,https://www.youtube.com/watch?v=_w8qekelkcY&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=15
EP-007,MMM-Episoden,Episode 007: Right said Fred!?!,2005-03-30,MisterL,http://wiki.maniac-mansion-mania.de/wiki/Right_said_Fred!%3F!,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=9,https://www.youtube.com/watch?v=yotA2j8fPb4&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=16
EP-008,MMM-Episoden,Episode 008: Die Abfuhr,2005-04-01,hansa_export,http://wiki.maniac-mansion-mania.de/wiki/Die_Abfuhr,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=10,https://www.youtube.com/watch?v=bY6g1s8etEE&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=19
EP-009,MMM-Episoden,Episode 009: Radioaktiv,2005-04-03,Rocco,http://wiki.maniac-mansion-mania.de/wiki/Radioactive,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=11,https://www.youtube.com/watch?v=1MtOP40Lb9U&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=22
EP-010,MMM-Episoden,Episode 010: Tales of Weird Ed,2005-04-04,Edison Interactive; Kruttan; MisterL; Bòógieman; dasJan; Rayman,http://wiki.maniac-mansion-mania.de/wiki/Tales_of_the_Weird_Ed,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=12,https://www.youtube.com/watch?v=Ndwb_gc9dFw&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=23
EP-011,MMM-Episoden,Episode 011: Ein haariger Ausflug - Special Edison,2005-04-10,MalleTheRedPhoenix,http://wiki.maniac-mansion-mania.de/wiki/Ein_haariger_Ausflug,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=13,https://www.youtube.com/watch?v=9yo9Uafy-b8&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=26
EP-012,MMM-Episoden,Episode 012: Giga Mansion,,Philipp 'Pippo' Thalmann; Frank 'TheBrain' Beilenhoff,http://wiki.maniac-mansion-mania.de/wiki/GIGA_Mansion,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=14,https://www.youtube.com/watch?v=TgGAA37fnco&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=27
EP-013,MMM-Episoden,Episode 013: Nur geträumt,2005-04-30,ZENSIERT,http://wiki.maniac-mansion-mania.de/wiki/Nur_getr%C3%A4umt,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=15,https://www.youtube.com/watch?v=Bf2yOOFWcro&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=28
EP-014,MMM-Episoden,Episode 014: Ed's Rache für den Hamsterbraten,2005-05-01,Monsum,http://wiki.maniac-mansion-mania.de/wiki/Ed's_Rache_f%C3%BCr_den_Hamsterbraten,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=16,https://www.youtube.com/watch?v=1YgzdT2iDPI&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=29
EP-015,MMM-Episoden,Episode 015: Ortmaschine,2005-05-02,Problem,http://wiki.maniac-mansion-mania.de/wiki/Ortmaschine,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=17,https://www.youtube.com/watch?v=rfIGSbMFO4M&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=30
EP-016,MMM-Episoden,Episode 016: Meteor Family – Die Rückkehr des Meteoriten (Reloaded),2005-05-03,fireorange,http://wiki.maniac-mansion-mania.de/wiki/Meteor_Family,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=18,https://www.youtube.com/watch?v=cOYhHTvc2cs&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=31
EP-017,MMM-Episoden,Episode 017: Das Labor,2005-05-08,TimurY,http://wiki.maniac-mansion-mania.de/wiki/Das_Labor,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=19,https://www.youtube.com/watch?v=yVM8Zl9SyRo&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=32
EP-018,MMM-Episoden,Episode 018: Shit Happens!,2005-05-10,jr,http://wiki.maniac-mansion-mania.de/wiki/Shit_Happens!,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=20,https://www.youtube.com/watch?v=p5pWvh7BhpQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=33
EP-019,MMM-Episoden,Episode 019: Das Date,2005-05-29,Chaosbytes,http://wiki.maniac-mansion-mania.de/wiki/Das_Date,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=21,https://www.youtube.com/watch?v=_gZZgPs76RA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=34
EP-020,MMM-Episoden,Episode 020: Das Date 2,2005-06-09,Chaosbytes,http://wiki.maniac-mansion-mania.de/wiki/Das_Date_2,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=22,https://www.youtube.com/watch?v=JfaKTVkk9b0&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=35
